Front	Gloss	Selmaho	Definition	Etymology	Example_1	Example_2	Related	Rafsi
ratcu	rat	gismu	x<sub>1</sub> is a rat of species/breed x<sub>2</sub>.	<span class="etymology-item"><span class="etymology-source-word">jurad</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">rat</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">rat</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cux</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">kris</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cu</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le mi'u ratcu co'i canci</span> - <span class="example-eng">The rat disappeared.</span>		<span class="lojban-word">smacu</span> (<span class="gloss">mouse</span>)	<span class="rafsi">ratc</span>
nilce	furniture	gismu	x<sub>1</sub> [furniture items] furnishes x<sub>2</sub> [location] serving purpose/function x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">mobiliia</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">frnic</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">mobiliari</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">farnicar</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">miebil</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cence</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le za'u vi te gusni cu nilce le mi'u kumfa le mi'u du'u ri jai zdile</span> - <span class="example-eng">These light sources furnishes the room making it amusing.</span>		<span class="lojban-word">ckana</span> (<span class="gloss">bed</span>), <span class="lojban-word">jubme</span> (<span class="gloss">table</span>), <span class="lojban-word">sfofa</span> (<span class="gloss">sofa</span>), <span class="lojban-word">stizu</span> (<span class="gloss">chair</span>), <span class="lojban-word">dacru</span> (<span class="gloss">drawer</span>)	<span class="rafsi">ni'e</span>/<span class="rafsi">nilc</span>
tilju	heavy	gismu	x<sub>1</sub> is heavy/weighty in mass/weight by standard x<sub>2</sub>.	<span class="etymology-item"><span class="etymology-source-word">takil</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ueiti</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">pesad</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">tol</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">tiajiol</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">jun</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">ti noi tanxe cu je'a tilju le ka gau muvdu re'o le loldi</span> - <span class="example-eng">This box is really heavy in dragging it on the floor.</span>		<span class="lojban-word">linto</span> (<span class="gloss">lightweight</span>), <span class="lojban-word">carmi</span> (<span class="gloss">intense</span>), <span class="lojban-word">bunda</span> (<span class="gloss">pound</span>), <span class="lojban-word">junta</span> (<span class="gloss">weight</span>)	<span class="rafsi">tij</span>/<span class="rafsi">tilj</span>
bavmi	barley	gismu	x<sub>1</sub> is a quantity of barley [grain] of species/strain x<sub>2</sub>.	<span class="etymology-item"><span class="etymology-source-word">cair</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">barli</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">sebad</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">iav</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">iicmien</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">damai</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">lo'e bavmi cu ralju se cupra bu'u</span> - <span class="example-eng">Barley is the main product here.</span>		<span class="lojban-word">gurni</span> (<span class="gloss">grain</span>)	<span class="rafsi">bavm</span>
satre	stroke	gismu	x<sub>1</sub> <span class="word-kind">(agent)</font> strokes/rubs/pets x<sub>2</sub> with x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">lataf</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">strok</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">estreg</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">saxl</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">tiriet</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">sa</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">la kevin pu satre pa mlatu le xance</span> - <span class="example-eng">Kevin stroke a cat with a hand.</span>		<span class="lojban-word">mosra</span> (<span class="gloss">friction</span>), <span class="lojban-word">pencu</span> (<span class="gloss">touch</span>)	<span class="rafsi">sa'e</span>/<span class="rafsi">satr</span>
barna	mark	gismu	x<sub>1</sub><span class="word-kind">(s)</font> is a/are mark<span class="word-kind">(s)</font>/spot<span class="word-kind">(s)</font> on x<sub>2</sub> of material x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">atar</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">mark</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">mark</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">mark</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">piitna</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ban</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le barna be le kamju cu tcita le dargu tu'a lo flalu</span> - <span class="example-eng">The mark on the pillar is a road sign.</span>		<span class="lojban-word">sinxa</span> (<span class="gloss">represent</span>), <span class="lojban-word">pixra</span> (<span class="gloss">picture</span>), <span class="lojban-word">se</span>, <span class="lojban-word">ciska</span> (<span class="gloss">write</span>), <span class="lojban-word">se</span>, <span class="lojban-word">prina</span> (<span class="gloss">print</span>)	<span class="rafsi">ba'a</span>/<span class="rafsi">barn</span>
mabru	mammal	gismu	x<sub>1</sub> is a mammal/'animal'/beast of species x<sub>2</sub>.	<span class="etymology-item"><span class="etymology-source-word">labun</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">maml</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">mamifer</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">stanpai</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">mlikapitaiuc</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">buru</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le delfinu cu mabru</span> - <span class="example-eng">Dolphins are mammals.</span>		<span class="lojban-word">danlu</span> (<span class="gloss">animal</span>), <span class="lojban-word">ladru</span> (<span class="gloss">milk</span>), <span class="lojban-word">tatru</span> (<span class="gloss">breast</span>), <span class="lojban-word">ractu</span> (<span class="gloss">bunny</span>), <span class="lojban-word">xanto</span> (<span class="gloss">elephant</span>), <span class="lojban-word">xarju</span> (<span class="gloss">pig</span>)	<span class="rafsi">mab</span>/<span class="rafsi">mabr</span>
sfubu	dive	gismu	x<sub>1</sub> dives/swoops [manner of controlled falling] to x<sub>2</sub> from x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">gasa</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">suup</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">buse</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">xubak</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">bros</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">fucun</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">mi pu sfubu le lenku djacu le korbi be le lalxu</span> - <span class="example-eng">I dived to the cold water from the shore of the lake.</span>		<span class="lojban-word">farlu</span> (<span class="gloss">fall</span>)	<span class="rafsi">sub</span>/<span class="rafsi">su'u</span>/<span class="rafsi">sfub</span>
minra	reflect	gismu	x<sub>1</sub> reflects/mirrors/echoes x<sub>2</sub> [object/radiation] to observer/point x<sub>3</sub> as x<sub>4</sub>; x<sub>2</sub> bounces on x<sub>1</sub>.	<span class="etymology-item"><span class="etymology-source-word">mira</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">mirr</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">espex</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">aina</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">zierkal</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">jin</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le djacu pu minra le gusni be fi la sol la alis le marvele barna</span> - <span class="example-eng">Water reflected the sunlight that Alice could see as marvelous spots.</span>	<span class="example-jbo">le mi'u bitmu so'i roi minra le sance</span> - <span class="example-eng">The wall echoes the sound several times.</span>	<span class="lojban-word">catlu</span> (<span class="gloss">look</span>), <span class="lojban-word">viska</span> (<span class="gloss">see</span>), <span class="lojban-word">lenjo</span> (<span class="gloss">lens</span>), <span class="lojban-word">pensi</span> (<span class="gloss">think</span>)	<span class="rafsi">mir</span>/<span class="rafsi">minr</span>
draci	drama	gismu	x<sub>1</sub> is a drama/play about x<sub>2</sub> [plot/theme/subject] by dramatist x<sub>3</sub> for audience x<sub>4</sub> with actors x<sub>5</sub>.	<span class="etymology-item"><span class="etymology-source-word">drami</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">drama</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">dram</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">natak</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">dram</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ci</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">pa pendo be mi cu finti pa draci be le nabmi pe le te seksi</span> - <span class="example-eng">My friend is the author of a drama about the problem of sexes.</span>		<span class="lojban-word">finti</span> (<span class="gloss">compose</span>), <span class="lojban-word">cukta</span> (<span class="gloss">book</span>), <span class="lojban-word">lisri</span> (<span class="gloss">story</span>), <span class="lojban-word">cfika</span> (<span class="gloss">fiction</span>)	<span class="rafsi">drac</span>
