jbobau	jbo·bau	lojbo bangu	Lojbanic + language	Lojban	$l_1=b_1$ is Lojban used by $b_2$ to express/communicate $b_3$ (si'o/du'u, not quote).
jbopre	jbo·pre	lojbo prenu	Lojbanic + people	Lojbanist	$l_1=p_1$ is a Lojbanist in aspect $l_2$.
plixau	pli·xau	pilno xamgu	use + beneficial	useful	$x_1$=$p_2$ is useful/good for $x_2=p_1$ by the standard of being usable for purpose $p_3$.
cabdei	cab·dei	cabna djedi	concurrent + full day	same day	$d_1=c_1$ is today; $d_1=c_1$ is the day occuring at the same time as $c_2$, day standard $d_3$.
selpa'i	sel·pa'i	se prami	2⇄1 + love	beloved	$x_1$ is loved by $x_2$; $x_1$ is a loved one/beloved to $x_2$
jungau	jun·gau	djuno gasnu	know + bring about	inform	$x_1$ tells/makes known to $x_2$  fact(s) $x_3$ (du'u) about subject $x_4$ by epistemology $x_5$.
vlaste	vla·ste	valsi liste	word + list	dictionary	$x_1=l_1$ is a dictionary with words $x_2=l_2=v_1$  in order $x_3=l_3$, medium $x_4=l_4$, and language $x_5=v_3$.
nintadni	nin·tadni	cnino tadni	new + study	beginner	$c_2=t_1$ is a beginner in subject $c_1=t_2$ by standard $c_4$
glibau	gli·bau	glico bangu	English + language	English	$g_1=b_1$ is the English language used by $b_2$ to express/communicate $b_3$ (si'o/du'u, not quote).
gendra	gen·dra	gerna drani	grammar + correct	grammatical	$d_1$ is grammatically correct in situation $d_3$ according to grammar $d_4=g_1$.
jbovlaste	jbo·vla·ste	lojbo valsi liste	Lojbanic + word + list	dictionary	$x_1=li_1$ is a list of words $x_2=v_1$ in Lojban ($v_3$=lo lojbo), in order $x_3=li_3$, preserved in medium $x_4=li_4$.
mriste	mri·ste	mrilu liste	mail + list	discussion group	$l_1$ is a mailing list with subscribers/recipients $l_2=m_3$.
selbri	sel·bri	se bridi	2⇄1 + predicate	predicate relation	$x_2=b_1$ (du'u) is a predicate relationship with relation $x_1=b_2$ among arguments $x_3=b_3$ (ordered set).
retsku	ret·sku	preti cusku	question + express	ask	$c_1=p_3$ asks/puts question $c_2=p_1$ (sedu'u/text/lu'e concept) of/to $c_3=p_4$ via expressive medium $c_4$ about subject $p_2$.
sampla	sam·pla	skami platu	computer + measure	program	$p_1$ makes computer program $p_2$ which is meant to perform process/purpose $p_3$.
tolmo'i	tol·mo'i	to'e morji	polar opposite + remember	forget	$m_1$ forgets fact/memory $m_2$ about subject $m_3$.
vokta'a	vok·ta'a	voksa tavla	voice + talk	talk vocally	$x_1$ speaks (vocally) to $x_2$ about $x_3$ in language $x_4$
xagmau	xag·mau	xamgu zmadu	beneficial + exceed	better	$xa_1=z_1$ is better than $z_2$ for $xa_2$ by standard $xa_3$, by amount $z_4$.
selsku	sel·sku	se cusku	2⇄1 + express	said	$c_2$ is said by $c_1$ to audience $c_3$ via expressive medium $c_4$.
fu'ivla	fu'i·vla	fukpi valsi	copy + word	borrowed word	$x_1=v_1=f_1$ is a loanword meaning $x_2=v_2$ in language $x_3=v_3$, based on word $x_4=f_2$ in language $x_5$.
skudji	sku·dji	cusku djica	express + desire	mean	$d_1$ means/intends to say $c_2$ to $c_3$ via medium $c_4$.
brivla	bri·vla	bridi valsi	predicate + word	predicate word	$v_1$ is a morphologically defined predicate word signifying relation $b_2$ in language $v_3$.
ningau	nin·gau	cnino gasnu	new + bring about	renovate	$x_1=g_1=c_2$ renovates/renews/updates $x_2=c_1$, making it new in property $x_3=c_3$ by standard $x_4=c_4$.
tinju'i	tin·ju'i	tirna jundi	hear + attend	listen	$t_1=j_1$ listens to/pays attention to sound $t_2=j_2$ with ambient background $t_3$.
jbovla	jbo·vla	lojbo valsi	Lojbanic + word	Lojban word	$x_1$ is a defined Lojban word, considered as a word as per Lojban's grammar, with meaning/role $x_2$
smudra	smu·dra	smuni drani	meaning + correct	correct	$x_1=d_1=s_1$ is semantically correct in situation/context $x_2=d_3$, having meaning $x_3=s_1$ according to interpreter $x_4=s_3=d_4$.
cmevla	cme·vla	cmene valsi	name + word	name	$x_1$ is a morphologically defined name word meaning $x_2$ in language $x_3$.
selsa'a	sel·sa'a	se sanga	2⇄1 + sing	song	$s_2$ is a song sung by $s_1$ to audience $s_3$.
jbocre	jbo·cre	lojbo certu	Lojbanic + competent		$x1$ is an expert in Lojban language.
prulamdei	pru·lam·dei	purci lamji djedi	past + adjacent + full day	eve	$d_1=p_1=l_1$ is yesterday; $d_1=p_1=l_1$ is the day preceding/eve of $p_2=l_2$, day standard $d_3$.
spusku	spu·sku	spuda cusku	reply + express	answer	$x_1$ gives reply/answer/responds with $x_2$ (sedu'u/text/lu'e concept) to $x_3$ via expressive medium $x_4$, about subject $x_5$.
sampre	sam·pre	skami prenu	computer + people	robot	$x_1=s_1=p_1$ is a computer-person/robot with purpose $x_2=s_2$
bavlamdei	bav·lam·dei	balvi lamji djedi	future + adjacent + full day	next day	$d_1=b_1=l_1$ is tomorrow; $d_1=b_1=l_1$ is the day following $b_2=l_2$, day standard $d_3$.
kinzga	kin·zga	skina zgana	cinema + observe	watch	$x_1=z_1$ watches movie/film/audio-video $x_2=z_2=s_1$ about subject $x_3=s_2$ by filmmaker $x_4=s_3$ intended for audience $x_5=s_4$ by sensory means $x_6=z_3$ under conditions $x_7=z_4$
jbogu'e	jbo·gu'e	lojbo gugde	Lojbanic + country	Lojbanic country	$x_1$ is Lojbanistan / Lojbanic country of people $x_2$
smudu'i	smu·du'i	smuni dunli	meaning + equal	same meaning	$x_1$ means the same as/has the same meaning as/is identical in meaning to $x_2$ to interpreter $x_3$
sumtcita	sum·tcita	sumti tcita	argument + label	sumti tag	$x_1$ is a sumti tag/[preposition] showing information x2
bripre	bri·pre	bridi prenu	predicate + people		$x_1$ is a person who has a body that expresses predicate relationships.
velski	vel·ski	ve skicu	4⇄1 + describe	description	$s_4$ is a description of $s_2$ to audience $s_3$ by describer $s_1$.
cnegau	cne·gau	cenba gasnu	vary + bring about		$x_1$ makes $x_2$ vary in property $x_3$ in amount $x_4$ under conditions $x_5$
gimste	gim·ste	gismu liste	root word + list	gimste	$x_1$ is a list of gismu
